time	Fs	Fmp	Fop	Phi2	NPQ	qP	qL	time2	tau	y0	A	gH	vH	pmf	LEF	CEF
0	0.4	1.9	0.6	0.8	0	1.1	1.4	3	0	0	0	90	0.4	0	170	0
2	0.9	1.4	0.7	0.4	0.3	0.7	0.5	5	0	0	0	100	0.4	0	170	0
4	1	1.5	0.7	0.3	0.2	0.6	0.4	7	0	0	0	110	0.4	0	170	0
6	1	1.5	0.7	0.3	0.2	0.6	0.4	9	0	0	0	110	0.4	0	170	0
8	1	1.5	0.7	0.3	0.2	0.6	0.4	11	0	0	0	100	0.4	0	160	0
10	1	1.5	0.7	0.3	0.2	0.6	0.4	13	0	0	0	110	0.4	0	160	0
12	1	1.5	0.7	0.3	0.2	0.6	0.4	15	0	0	0	110	0.5	0	160	0
14	1	1.5	0.7	0.3	0.2	0.6	0.4	17	0	0	0	100	0.4	0	160	0
16	1	1.5	0.7	0.3	0.2	0.6	0.4	19	0	0	0	90	0.4	0	160	0
18	1	1.5	0.7	0.3	0.2	0.6	0.4	21	0	0	0	80	0.4	0	160	0
20	1	1.5	0.7	0.3	0.2	0.6	0.4	23	0	0	0	70	0.4	0	160	0
22	1	1.5	0.7	0.3	0.2	0.6	0.5	25	0	0	0	80	0.5	0	160	0
24	1	1.5	0.7	0.3	0.2	0.6	0.4	27	0	0	0	70	0.4	0	150	0
26	1	1.4	0.7	0.3	0.2	0.6	0.4	29	0	0	0	60	0.4	0	150	0
28	1	1.4	0.7	0.3	0.3	0.6	0.5	31	0	0	0	60	0.4	0	140	0
30	1	1.4	0.7	0.3	0.3	0.6	0.5	33	0	0	0	60	0.4	0	130	0
32	1	1.3	0.7	0.3	0.3	0.6	0.5	35	0	0	0	60	0.4	0	130	0
34	1	1.3	0.8	0.3	0.3	0.6	0.5	37	0	0	0	70	0.4	0	120	0
36	1	1.3	0.8	0.2	0.3	0.6	0.5	39	0	0	0	70	0.4	0	110	0
38	1	1.3	0.8	0.2	0.3	0.6	0.5	41	0	0	0	70	0.4	0	100	0
40	1	1.2	0.8	0.2	0.4	0.6	0.5	43	0	0	0	80	0.5	0	90	0
42	1	1.2	0.8	0.2	0.4	0.6	0.5	45	0	0	0	90	0.5	0	100	0
44	1	1.2	0.8	0.2	0.3	0.6	0.5	47	0	0	0	80	0.5	0	110	0
46	1	1.3	0.8	0.2	0.3	0.6	0.5	49	0	0	0	80	0.4	0	120	0
48	1	1.3	0.8	0.2	0.3	0.6	0.5									
50	1	1.3	0.8	0.3	0.3	0.6	0.5									
52	1	1.3	0.7	0.3	0.3	0.6	0.5									
54	1	1.3	0.7	0.3	0.3	0.6	0.5									
56	1	1.3	0.7	0.3	0.3	0.6	0.5									
58	1	1.3	0.7	0.3	0.3	0.6	0.5									
60	1	1.3	0.7	0.3	0.3	0.6	0.5									
62	0.5	1.3	0.6	0.6	0.3	1.1	1.3									
64	0.5	1.5	0.6	0.7	0.2	1.1	1.4									
66	0.5	1.5	0.6	0.7	0.2	1.1	1.4									
68	0.4	1.5	0.6	0.7	0.2	1.1	1.4									
70	0.4	1.5	0.5	0.7	0.2	1.1	1.4									
72	0.4	1.5	0.5	0.7	0.2	1.1	1.4									
74	0.4	1.5	0.5	0.7	0.2	1.1	1.4									
76	0.4	1.5	0.5	0.7	0.2	1.1	1.4									
78	0.4	1.5	0.5	0.7	0.2	1.1	1.4									
80	0.4	1.5	0.5	0.7	0.2	1.1	1.4									
82	0.4	1.5	0.5	0.7	0.2	1.1	1.4									
84	0.4	1.5	0.5	0.7	0.2	1.1	1.4									
86	0.4	1.5	0.5	0.7	0.2	1.1	1.4									
88	0.4	1.5	0.5	0.7	0.2	1.1	1.4									
90	0.4	1.5	0.5	0.7	0.2	1.1	1.4									
92	0.4	1.5	0.5	0.7	0.2	1.1	1.4									
94	0.4	1.5	0.5	0.7	0.2	1.1	1.4									
96	0.4	1.5	0.5	0.7	0.2	1.1	1.4									
98	0.4	1.5	0.5	0.7	0.2	1.1	1.4									
100	0.4	1.5	0.5	0.7	0.2	1.1	1.4									
